采集时间,航班号,高度(米),速度(米/秒),航向(度),经度,纬度,是否地面,ICAO24
2026-04-07 00:07:51,N169SD,3649.98,166.34,103.05,116.6109,40.4193,False,a114b1
2026-04-07 00:07:51,GDC7886,2659.38,142.51,198.96,116.8063,40.3022,False,78044c
2026-04-07 01:02:59,AFL654,11003.28,229.11,229.37,116.2353,40.2778,False,152038
2026-04-07 01:02:59,CCA1288,2644.14,166.15,128.72,116.6408,40.1716,False,7817f6
2026-04-07 01:02:59,DLH727,10393.68,208.67,351.35,116.7933,40.1072,False,3c6719
2026-04-07 01:02:59,SBI6241,3596.64,164.69,181.61,116.8323,40.1556,False,151ec4
2026-04-07 02:50:03,CES201,9174.48,215.76,349.98,116.7533,40.304,False,780d9f
2026-04-07 02:50:03,CLX7441,9784.08,209.33,303.07,116.234,40.8053,False,4d0118
2026-04-07 03:42:33,CCA847,11003.28,201.32,330.62,116.3887,40.8508,False,781fb4
2026-04-07 03:42:33,CHH7969,5067.3,176.72,3.17,116.5653,40.7673,False,78158f
2026-04-07 03:42:33,CCA962,3413.76,185.24,117.63,116.5471,40.1918,False,780970
2026-04-07 03:42:33,CHH769,3992.88,149.44,3.35,116.5474,40.5147,False,7813a0
2026-04-07 03:42:33,CCA738,3360.42,168.09,124.27,116.6047,40.183,False,780dfd
