采集时间,航班号,高度(米),速度(米/秒),航向(度),经度,纬度,是否地面,ICAO24
2026-04-07 00:07:51,N169SD,3649.98,166.34,103.05,116.6109,40.4193,False,a114b1
2026-04-07 00:07:51,GDC7886,2659.38,142.51,198.96,116.8063,40.3022,False,78044c
2026-04-07 01:02:59,AFL654,11003.28,229.11,229.37,116.2353,40.2778,False,152038
2026-04-07 01:02:59,CCA1288,2644.14,166.15,128.72,116.6408,40.1716,False,7817f6
2026-04-07 01:02:59,DLH727,10393.68,208.67,351.35,116.7933,40.1072,False,3c6719
2026-04-07 01:02:59,SBI6241,3596.64,164.69,181.61,116.8323,40.1556,False,151ec4
2026-04-07 02:50:03,CES201,9174.48,215.76,349.98,116.7533,40.304,False,780d9f
2026-04-07 02:50:03,CLX7441,9784.08,209.33,303.07,116.234,40.8053,False,4d0118
2026-04-07 03:42:33,CCA847,11003.28,201.32,330.62,116.3887,40.8508,False,781fb4
2026-04-07 03:42:33,CHH7969,5067.3,176.72,3.17,116.5653,40.7673,False,78158f
2026-04-07 03:42:33,CCA962,3413.76,185.24,117.63,116.5471,40.1918,False,780970
2026-04-07 03:42:33,CHH769,3992.88,149.44,3.35,116.5474,40.5147,False,7813a0
2026-04-07 03:42:33,CCA738,3360.42,168.09,124.27,116.6047,40.183,False,780dfd
2026-04-07 04:23:17,CCA864,3185.16,164.96,116.49,116.5767,40.1763,False,780b46
2026-04-07 04:23:17,CCA862,3314.7,145.68,118.01,116.5744,40.1808,False,781ec3
2026-04-07 04:59:24,CCA966,3329.94,183.18,115.27,116.6039,40.1635,False,780bf8
2026-04-07 05:40:59,PEX28F,3596.64,160.54,91.1,116.5365,40.422,False,424509
2026-04-07 06:51:28,CCA1621,2621.28,138.44,12.23,116.8162,40.2175,False,780529
2026-04-07 06:51:28,CCA1215,4373.88,176.21,3.18,116.5513,40.569,False,7817e0
2026-04-07 06:51:28,CKK217,9174.48,220.24,351.13,116.8065,40.0399,False,7805dc
2026-04-07 06:51:28,CCA1393,4137.66,170.19,240.88,116.3092,40.1352,False,78086c
2026-04-07 07:23:28,CUA5509,7604.76,197.06,0.9,116.8017,40.7493,False,78168d
2026-04-07 07:23:28,CUA5519,6004.56,187.27,0.63,116.7949,40.317,False,7802fb
2026-04-07 07:23:28,未知,1798.32,134.32,352.74,116.571,40.2406,False,780490
2026-04-07 07:23:28,CCA1825,2842.26,159.95,162.79,116.9581,40.1491,False,78076f
2026-04-07 07:23:28,CCA1461,3208.02,147.09,252.71,116.3771,40.2105,False,7820dc
2026-04-07 07:23:28,CCA958,3307.08,154.91,94.95,116.6261,40.4202,False,78115f
2026-04-07 07:23:28,未知,2095.5,139.88,35.27,116.5892,40.2461,False,780069
2026-04-07 07:23:28,未知,5394.96,177.67,345.92,116.8152,40.746,False,780099
