采集时间,航班号,高度(米),速度(米/秒),航向(度),经度,纬度,是否地面,ICAO24
2026-04-08 00:39:20,CCA1928,2621.28,152.47,19.72,116.2225,40.2193,False,7822dd
2026-04-08 02:34:37,CLX9982,9174.48,242.94,342.75,116.605,40.6836,False,4d0105
2026-04-08 02:34:37,CES249,9784.08,237.11,343.1,116.6768,40.507,False,781ff7
2026-04-08 02:34:37,AHY068,9364.98,234.51,301.18,116.2205,40.9021,False,424293
2026-04-08 02:34:37,CES709,10393.68,234.99,343.07,116.6706,40.5226,False,781684
2026-04-08 03:39:27,CSH869,10393.68,236.9,351.13,116.8173,39.9847,False,781a60
2026-04-08 03:39:27,CES243,10393.68,231.89,342.97,116.6619,40.5439,False,781de5
2026-04-08 03:39:27,CHH770,2857.5,154.6,135.4,116.6444,40.1824,False,7813a0
2026-04-08 04:22:26,CCA862,3337.56,161.06,115.75,116.3995,40.2401,False,781345
2026-04-08 09:06:43,CSN6341,11003.28,214.9,242.64,116.8387,40.5407,False,782237
2026-04-08 09:06:43,CCA878,3596.64,163.12,91.27,116.6118,40.4261,False,781b5c
2026-04-08 09:06:43,CSN6311,9776.46,232.86,199.76,117.1325,40.3971,False,781096
2026-04-08 09:06:43,HXA4027,7193.28,192.99,199.79,117.0217,40.161,False,780b3e
2026-04-08 09:06:43,CCA1112,3832.86,182.12,90.65,116.1822,40.427,False,781f2c
2026-04-08 09:06:43,CSN6101,3657.6,172.6,172.98,116.7149,40.189,False,780c79
2026-04-08 09:06:43,CSC8471,9486.9,225.33,351.33,116.8109,40.0204,False,780cec
2026-04-08 09:06:43,CQH6471,8945.88,214.68,2.2,116.8083,40.8555,False,780713
2026-04-08 09:06:43,CHH473,5631.18,201.77,172.68,117.0868,40.0073,False,7806e1
2026-04-08 09:06:43,CSN5973,9776.46,232.2,199.68,116.9086,39.916,False,7806fe
2026-04-08 09:06:43,CCA4011,9479.28,226.31,5.35,116.7603,40.4247,False,7808aa
2026-04-08 12:06:19,CCA1127,5311.14,138.42,237.14,116.2323,40.1559,False,7809a4
2026-04-08 12:06:19,CSC8894,2270.76,125.02,259.57,116.403,40.2246,False,781407
2026-04-08 12:06:19,CHH7138,2727.96,134.76,172.98,116.6967,40.3085,False,7800da
2026-04-08 12:06:19,KAL907,9174.48,243.92,342.83,116.7181,40.4051,False,71c011
2026-04-08 12:06:19,UEA1974,9479.28,231.37,3.31,116.8018,40.7585,False,781651
2026-04-08 12:06:19,未知,3078.48,127.01,274.88,116.4694,40.3163,False,780fdc
2026-04-08 12:06:19,KAL969,9166.86,249.26,351.33,116.8199,39.9725,False,71c515
2026-04-08 12:06:19,KAL2052,5699.76,199.66,172.75,117.0867,40.007,False,71c558
2026-04-08 13:54:36,DLH726,11917.68,246.03,170.73,116.8254,39.9443,False,3c6713
2026-04-08 13:54:36,DLH723,5097.78,204.08,318.47,116.561,40.8303,False,3c670a
2026-04-08 13:54:36,未知,4785.36,205.54,354.97,116.8724,40.6101,False,781b5c
2026-04-08 13:54:36,CSC8885,2026.92,130.46,77.94,116.3677,40.3526,False,781079
2026-04-08 13:54:36,OMA4069,5189.22,177.37,344.35,116.8955,40.5097,False,7a389d
2026-04-08 13:54:36,CCA8192,5699.76,198.85,118.09,116.8894,40.416,False,781dd5
2026-04-08 13:54:36,JYH1697,8869.68,236.75,5.61,116.7958,40.7098,False,7811a1
2026-04-08 13:54:36,CDG1160,2537.46,126.63,79.47,116.3613,40.3369,False,780c90
2026-04-08 13:54:36,AAR582,11308.08,267.12,96.41,116.2313,40.3754,False,71c078
2026-04-08 13:54:36,KAL926,11308.08,256.63,130.2,116.6974,40.3109,False,71c218
2026-04-08 16:18:08,未知,3390.9,162.75,351.64,117.0615,40.162,False,7820dc
2026-04-08 16:18:08,CSN6342,10683.24,230.47,3.84,116.7546,40.3484,False,782237
2026-04-08 16:18:08,CCA102,2804.16,118.57,102.53,116.7162,40.4218,False,782279
2026-04-08 16:18:08,CCA8140,6004.56,163.99,260.06,116.3374,40.1199,False,781dd5
2026-04-08 16:18:08,CUA5521,5920.74,186.62,315.34,116.8139,40.1482,False,780057
2026-04-08 16:18:08,KNA8242,7802.88,199.02,199.79,117.0832,40.292,False,780de7
2026-04-08 16:18:08,CCA1400,2781.3,123.04,74.98,116.3313,40.3413,False,7817df
2026-04-08 17:36:45,CSN6148,9784.08,208.48,215.97,116.5518,40.5748,False,7821b6
2026-04-08 17:36:45,MGL502,9174.48,216.42,342.86,116.664,40.5382,False,4ca929
2026-04-08 17:36:45,未知,5394.96,176.06,258.2,116.8231,40.2071,False,780c97
2026-04-08 17:36:45,CBJ5347,8915.4,240.6,31.45,116.8444,40.8905,False,781411
2026-04-08 17:36:45,CDG8407,6888.48,194.04,171.46,116.7975,40.0866,False,780d5b
2026-04-08 17:36:45,CSZ9602,9799.32,219.02,199.63,116.9521,40.0114,False,780667
2026-04-08 17:36:45,CGN6023,11612.88,234.79,351.18,116.793,40.1096,False,780739
2026-04-08 17:36:45,CCA1384,2697.48,166.25,20.85,116.2158,40.2128,False,780971
