采集时间,航班号,高度(米),速度(米/秒),航向(度),经度,纬度,是否地面,ICAO24
2026-04-10 00:54:49,CSS7119,3688.08,173.74,238.19,116.3927,40.1905,False,78179b
2026-04-10 00:54:49,CCA1294,2407.92,163.16,173.3,116.7158,40.1873,False,782361
2026-04-10 00:54:49,CCA1130,2522.22,155.95,173.18,116.7167,40.1794,False,78009b
2026-04-10 02:48:57,未知,2804.16,130.97,21.43,116.8859,40.2999,False,7809a5
2026-04-10 02:48:57,CSS7635,9784.08,231.54,199.6,116.9158,39.9321,False,781677
2026-04-10 02:48:57,CES249,10706.1,233.75,330.9,116.5876,40.6184,False,78168c
2026-04-10 02:48:57,CHH491,3291.84,158.1,13.36,116.538,40.4223,False,78105a
2026-04-10 02:48:57,CHH7925,5821.68,180.2,330.21,116.8218,40.737,False,781003
2026-04-10 02:48:57,CCA829,5196.84,163.28,336.02,116.6799,40.5835,False,780dfc
2026-04-10 03:54:12,CCA847,10767.06,238.78,351.45,116.7802,40.1705,False,781e02
2026-04-10 03:54:12,ANA8528,4282.44,171.31,270.34,116.1928,40.2258,False,86ef62
2026-04-10 04:39:10,CCA862,3329.94,156.48,115.3,116.5292,40.1901,False,781b5b
2026-04-10 04:39:10,AFL654,11003.28,207.3,229.63,116.2319,40.2755,False,152038
2026-04-10 04:39:10,CCA964,2766.06,159.02,173.31,116.7166,40.1779,False,78115c
2026-04-10 06:56:54,CCA1213,2727.96,135.9,254.86,116.5009,40.2131,False,781e14
2026-04-10 06:56:54,CKK204,11003.28,238.22,199.69,116.9672,40.0429,False,781e8a
2026-04-10 06:56:54,CCA1613,5646.42,186.28,28.9,116.6795,40.5864,False,780d80
2026-04-10 06:56:54,GEC8427,9174.48,228.17,301.54,116.3518,40.8174,False,3c70ca
2026-04-10 06:56:54,CCA1621,3467.1,132.37,11.66,116.5601,40.3206,False,78031e
2026-04-10 06:56:54,BAW5,12527.28,267.34,153.48,116.7542,40.2475,False,406d7a
2026-04-10 06:56:54,KLM867,11917.68,262.45,171.09,116.8265,39.9391,False,485789
